source_run	defect_class	dialog_index	turn_index	message_id	strict_signals	turn_text	observed_action	observed_intent	observed_tool_action	observed_tool_decision	response_snippet	expected_contract	cause_class	owner	planned_test	status
booking-human-critical-hq1-l2-contract-first-a1-r5	judge_fail	4	10	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-004-10-74b9b7	judge_fail|judge:missed_question	Проверьте, пожалуйста, мою запись на на выходных на 17:45.	reply	calendar.get_booking	calendar.get_booking	time_mismatch	Записи в субботу на 17:45 не вижу. Хотите проверить другую дату/время или оформить новую запись?	calendar.get_booking must answer requested booking check without semantic miss	behavior	a1	truffles-api/tests/test_message_endpoint.py::test_check_booking_weekend_time_flow	open
booking-human-critical-hq1-l2-contract-first-a1-r5	judge_fail	5	7	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-005-07-69060e	judge_fail|judge:missed_question	Я хочу записаться на завтрашний день.	reply	calendar.list_slots	calendar.list_slots	ok	На день свободных окон нет. Могу предложить другое время.  Отлично, время подходит. Как вас зовут?	relative date turn must resolve to slot response without stale name-followup leak	behavior	a1	truffles-api/tests/test_calendar_slot_response_contract.py::test_execute_list_slots_prefers_relative_date_over_time_only_start_at	open
booking-human-critical-hq1-l2-contract-first-a1-r5	judge_fail	5	14	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-005-14-29adaa	expected_reply_type_mismatch|judge_fail|judge:missed_question	Можно на 18:30?	reply	policy_core_guard			Подскажите, пожалуйста, что именно вас интересует?	timeout degrade in booking must not send generic clarify	behavior	a1	truffles-api/tests/test_message_endpoint.py::test_timeout_degrade_booking_uses_slot_fallback	open
booking-human-critical-hq1-l2-contract-first-a1-r5	judge_fail	6	14	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-006-14-9fcd2d	judge_fail|judge:missed_question	Проверьте, пожалуйста, мою запись на завтра на 18:30.	reply	policy_core_guard			Подскажите, пожалуйста, что именно вас интересует?	booking verification under timeout degrade must keep booking-safe fallback	behavior	a1	truffles-api/tests/test_message_endpoint.py::test_timeout_degrade_booking_check_booking_flow	open
booking-human-critical-hq1-l2-contract-first-a1-r5	judge_fail	7	2	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-007-02-f84ddf	judge_fail|judge:missed_question	Во сколько у вас свободные слоты?	reply	calendar.list_slots	calendar.list_slots	missing_slot	На какую дату и время вам удобно?	slot availability question must produce actionable slot answer contract	behavior	a1	truffles-api/tests/test_booking_quality_response_guard.py::test_evaluate_turn_flags_slot_date_resolution_miss	open
booking-human-critical-hq1-l2-contract-first-a1-r5	judge_fail	7	12	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-007-12-2b2046	judge_fail|judge:missed_question	Подтвердите, пожалуйста, запись на 15:00.	reply	calendar.get_booking	calendar.get_booking	time_mismatch	Записи на 15:00 не вижу. Хотите проверить другую дату/время или оформить новую запись?	calendar.get_booking confirm turn must not miss requested question	behavior	a1	truffles-api/tests/test_message_endpoint.py::test_check_booking_confirmation_reply	open
booking-human-critical-hq1-l2-contract-first-a1-r5	judge_fail	8	10	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-008-10-e51206	judge_fail|judge:missed_question	У вас есть мастера, которые работают с долгими стрижками?	reply	master	catalog.service_query	not_found_fallback	По мастерам: Ногти: Старшие мастера по ногтям с опытом 4–6 лет, аппаратный маникюр, укрепление и выравнивание. Волосы: Колористы 5+ лет, делают блонд, балаяж и другие сложные окрашивания. Брови и ресницы: Бровисты/лэшмейкеры 3–5 лет, ламини	master intent for long-hair haircut must stay in hair domain	behavior	a1	truffles-api/tests/test_message_endpoint.py::test_master_long_hair_request_no_service_drift	open
booking-human-critical-hq1-l2-contract-first-a1-r5	judge_fail	8	14	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-008-14-f237ad	judge_fail|judge:missed_question	Да, подтверждаю.	reply	calendar.list_slots	calendar.list_slots	ok	Свободных слотов не нашлось. Могу предложить другое время.  На какую услугу хотите записаться?	post-confirmation turn must keep booking progression and expected_reply alignment	behavior	a1	truffles-api/tests/test_message_endpoint.py::test_booking_confirm_turn_keeps_expected_reply_contract	open
booking-human-critical-hq1-l2-contract-first-a1-r5	requested_date_time_like	5	7	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-005-07-69060e	judge_fail|judge:missed_question	Я хочу записаться на завтрашний день.	reply	calendar.list_slots	calendar.list_slots	ok	На день свободных окон нет. Могу предложить другое время.  Отлично, время подходит. Как вас зовут?	requested_date must never store HH:MM token	behavior	a1	truffles-api/tests/test_calendar_slot_response_contract.py::test_execute_list_slots_prefers_relative_date_over_time_only_start_at	open
booking-human-critical-hq1-l2-contract-first-a1-r5	requested_date_time_like	8	11	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-008-11-555085		Можно на 19:00?	reply	calendar.list_slots	calendar.list_slots	ok	На 19:00 свободных окон нет. Могу предложить другое время.  На какую услугу хотите записаться?	requested_date must stay date-like when requested_time present	behavior	a1	truffles-api/tests/test_calendar_slot_response_contract.py::test_requested_date_not_time_token_for_slot_queries	open
